game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20260414,black,white,MCTS(rounds=300),Minimax(depth=4),white,Minimax(depth=4),0,1,26,two_passes,55.78931407700293,13,13,37.899532725,17.8876315721,2.91534867115,1.37597165939,5.520604908,3.36660265701,0,0,-10.5,10.5,5,50,7.5,"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-10.5,11,14,W+10.5
1,mcts_black,1,20260415,black,white,MCTS(rounds=300),Minimax(depth=4),white,Minimax(depth=4),0,1,26,two_passes,29.681129756034352,13,13,20.6889649129,8.99093794799,1.59145883945,0.691610611384,2.77796148695,1.750163296,0,0,-8.5,8.5,5,50,7.5,"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-8.5,11,12,W+8.5
2,mcts_black,2,20260416,black,white,MCTS(rounds=300),Minimax(depth=4),white,Minimax(depth=4),0,1,40,two_passes,39.480387006071396,20,20,27.3260871059,12.152185009,1.3663043553,0.607609250449,2.76631663507,1.87495419907,0,0,-23.5,23.5,5,50,7.5,"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-23.5,4,20,W+23.5
3,mcts_black,3,20260417,black,white,MCTS(rounds=300),Minimax(depth=4),white,Minimax(depth=4),0,1,28,two_passes,48.17717531102244,14,14,31.710312402,16.4649811371,2.26502231443,1.17607008122,5.44162138901,3.33070428402,0,0,-11.5,11.5,5,50,7.5,"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-11.5,10,14,W+11.5
4,mcts_black,4,20260418,black,white,MCTS(rounds=300),Minimax(depth=4),white,Minimax(depth=4),0,1,26,two_passes,29.702131254947744,13,13,20.6830848738,9.01784102293,1.59100652876,0.693680078687,2.77277602907,1.74684078398,0,0,-8.5,8.5,5,50,7.5,"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-8.5,11,12,W+8.5
5,mcts_white,0,20260419,white,black,MCTS(rounds=300),Minimax(depth=4),black,Minimax(depth=4),0,1,37,two_passes,68.80565227591433,18,19,48.6843025277,20.118219477,2.70468347376,1.05885365668,5.39303780999,3.50746016204,0,0,-3.5,3.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,3.5,17,6,B+3.5
6,mcts_white,1,20260420,white,black,MCTS(rounds=300),Minimax(depth=4),black,Minimax(depth=4),0,1,47,two_passes,58.06417394592427,23,24,40.4921277689,17.5692090467,1.7605272943,0.732050376944,5.55870323197,3.40026581497,0,0,-17.5,17.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
7,mcts_white,2,20260421,white,black,MCTS(rounds=300),Minimax(depth=4),black,Minimax(depth=4),0,1,37,two_passes,35.32781409600284,18,19,25.3241815541,10.0018449143,1.40689897523,0.526412890225,2.78133425,1.48812172003,0,0,-3.5,3.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,3.5,17,6,B+3.5
8,mcts_white,3,20260422,white,black,MCTS(rounds=300),Minimax(depth=4),black,Minimax(depth=4),0,1,41,two_passes,69.35361903300509,20,21,48.7017038632,20.6484279687,2.43508519316,0.983258474701,5.72726974206,3.48841308395,0,0,-10.5,10.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,10.5,21,3,B+10.5
9,mcts_white,4,20260423,white,black,MCTS(rounds=300),Minimax(depth=4),black,Minimax(depth=4),0,1,37,two_passes,76.38983827503398,18,19,52.3381029349,24.048529193,2.90767238527,1.26571206279,5.38873166998,3.31763150007,0,0,-5.5,5.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=300, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,5.5,18,5,B+5.5
