game_index,subrun,subrun_game_index,seed,variant_color,standard_color,variant_name,variant_label,standard_name,standard_label,winner_color,winner_label,variant_won,standard_won,move_count,termination_reason,total_duration_s,variant_turns,standard_turns,variant_think_time_s,standard_think_time_s,variant_avg_move_time_s,standard_avg_move_time_s,variant_max_move_time_s,standard_max_move_time_s,variant_exceeded_move_time_limit,standard_exceeded_move_time_limit,variant_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,standard_black,0,20264414,white,black,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,31,two_passes,268.3631546963006,15,16,136.345308033,132.016696371,9.08968720219,8.2510435232,10.6603045603,10.4412371339,0,0,-8.5,8.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",MCTS,MCTS,1,0,8.5,20,4,B+8.5
1,standard_black,1,20264415,white,black,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",1,0,26,two_passes,314.63996737264097,13,13,165.192044025,149.446735224,12.7070803096,11.4959027095,20.9356105365,20.5548073454,1,1,11.5,11.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",MCTS,MCTS,0,1,-11.5,9,13,W+11.5
2,standard_black,2,20264416,white,black,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",1,0,4,two_passes,59.250541106797755,2,2,38.2640381763,20.9863733463,19.1320190881,10.4931866731,21.3755117934,20.9862889703,1,1,7.5,7.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",MCTS,MCTS,0,1,-7.5,1,1,W+7.5
3,standard_black,3,20264417,white,black,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,33,two_passes,395.6300801653415,16,17,203.297361774,192.331371147,12.7060851109,11.3136100675,21.4407698484,20.8226992544,1,1,-0.5,0.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",MCTS,MCTS,1,0,0.5,16,8,B+0.5
4,standard_black,4,20264418,white,black,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,29,two_passes,326.1790039446205,14,15,170.526563666,155.651123569,12.1804688333,10.3767415713,20.9622738799,20.5125881387,1,1,-6.5,6.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",MCTS,MCTS,1,0,6.5,18,4,B+6.5
5,standard_white,0,20264419,black,white,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",1,0,27,two_passes,229.87359540257603,14,13,115.469841805,114.402841904,8.24784584323,8.80021860802,10.3565811254,10.1062496938,0,0,3.5,3.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,3.5,17,6,B+3.5
6,standard_white,1,20264420,black,white,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",1,0,41,two_passes,425.8964216923341,21,20,207.715974456,218.178623171,9.89123687884,10.9089311585,21.5141380848,20.961481262,1,1,8.5,8.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,8.5,19,3,B+8.5
7,standard_white,2,20264421,black,white,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",1,0,33,two_passes,388.2518981229514,17,16,190.984915121,197.265478494,11.2344067719,12.3290924059,21.8485520305,21.4082571734,1,1,4.5,4.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,4.5,17,5,B+4.5
8,standard_white,3,20264422,black,white,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",1,0,39,two_passes,402.1229720301926,20,19,199.425400719,202.695930352,9.97127003595,10.6682068606,20.967944718,20.4925425574,1,1,4.5,4.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,4.5,18,6,B+4.5
9,standard_white,4,20264423,black,white,Heuristic-expansion MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)",1,0,31,two_passes,337.3487556697801,16,15,164.882097456,172.465245447,10.305131091,11.4976830298,20.0332376463,19.7937186519,1,0,3.5,3.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=heuristic, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,3.5,18,7,B+3.5
