game_index,subrun,subrun_game_index,seed,variant_color,standard_color,variant_name,variant_label,standard_name,standard_label,winner_color,winner_label,variant_won,standard_won,move_count,termination_reason,total_duration_s,variant_turns,standard_turns,variant_think_time_s,standard_think_time_s,variant_avg_move_time_s,standard_avg_move_time_s,variant_max_move_time_s,standard_max_move_time_s,variant_exceeded_move_time_limit,standard_exceeded_move_time_limit,variant_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,standard_black,0,20263414,white,black,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,29,two_passes,347.24149189982563,14,15,226.093038137,121.147405372,16.1495027241,8.07649369147,18.4821695173,10.3254468935,0,0,-5.5,5.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",MCTS,MCTS,1,0,5.5,18,5,B+5.5
1,standard_black,1,20263415,white,black,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,33,two_passes,500.3369895061478,16,17,321.644827672,178.690722369,20.1028017295,10.5112189629,36.0734199807,20.7000267869,1,1,-2.5,2.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",MCTS,MCTS,1,0,2.5,17,7,B+2.5
2,standard_black,2,20263416,white,black,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,34,two_passes,464.30002626683563,17,17,306.64725048,157.65144395,18.0380735576,9.27361434999,36.5552870706,20.8445173455,1,1,7.5,7.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",MCTS,MCTS,0,1,-7.5,12,12,W+7.5
3,standard_black,3,20263417,white,black,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,50,move_limit_score,601.9569749897346,25,25,395.847170473,206.107924929,15.8338868189,8.24431699716,18.6401510872,10.4219029192,0,0,15.5,15.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",MCTS,MCTS,0,1,-15.5,5,13,W+15.5
4,standard_black,4,20263418,white,black,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,8,two_passes,100.72051667328924,4,4,69.6695295805,31.0507811159,17.4173823951,7.76269527897,18.7230242016,10.4402205423,0,0,7.5,7.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",MCTS,MCTS,0,1,-7.5,3,3,W+7.5
5,standard_white,0,20263419,black,white,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,41,two_passes,472.30502724740654,21,20,302.240803661,170.062487579,14.3924192219,8.50312437895,18.5250720307,10.6988435313,0,0,7.5,7.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,7.5,19,4,B+7.5
6,standard_white,1,20263420,black,white,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,31,two_passes,397.80438148602843,16,15,250.094387285,147.708710415,15.6308992053,9.84724736102,34.5097707929,19.7917034756,1,0,2.5,2.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,2.5,17,7,B+2.5
7,standard_white,2,20263421,black,white,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,29,two_passes,432.64065472222865,15,14,268.990650059,163.648702939,17.9327100039,11.6891930671,36.2980461717,20.6612999942,1,1,0.5,0.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,0.5,15,7,B+0.5
8,standard_white,3,20263422,black,white,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,29,two_passes,442.60840979311615,15,14,281.305314394,161.301797135,18.7536876262,11.5215569382,37.3951234063,21.4462752091,1,1,3.5,3.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,3.5,18,7,B+3.5
9,standard_white,4,20263423,black,white,Heuristic-rollout MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)",1,0,29,two_passes,356.9694096967578,15,14,228.456787057,128.511502181,15.2304524705,9.17939301294,18.8256110325,10.4058633661,0,0,7.5,7.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=heuristic, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,7.5,19,4,B+7.5
