game_index,subrun,subrun_game_index,seed,variant_color,standard_color,variant_name,variant_label,standard_name,standard_label,winner_color,winner_label,variant_won,standard_won,move_count,termination_reason,total_duration_s,variant_turns,standard_turns,variant_think_time_s,standard_think_time_s,variant_avg_move_time_s,standard_avg_move_time_s,variant_max_move_time_s,standard_max_move_time_s,variant_exceeded_move_time_limit,standard_exceeded_move_time_limit,variant_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,standard_black,0,20261414,white,black,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",1,0,30,two_passes,271.0291761402041,15,15,139.02470769,132.00324549,9.26831384599,8.80021636598,18.3519020332,19.017527556,0,0,7.5,7.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-7.5,12,12,W+7.5
1,standard_black,1,20261415,white,black,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",1,0,30,two_passes,260.4596198787913,15,15,128.578953203,131.879353623,8.57193021352,8.79195690819,10.2893364923,14.7377539445,0,0,13.5,13.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-13.5,8,14,W+13.5
2,standard_black,2,20261416,white,black,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,45,two_passes,414.9683830048889,22,23,210.280182404,204.686124795,9.55819010929,8.89939673022,20.4982771315,20.3836687533,1,1,-2.5,2.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,2.5,17,7,B+2.5
3,standard_black,3,20261417,white,black,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",1,0,36,two_passes,302.1097934190184,18,18,154.802717541,147.305600226,8.60015097452,8.183644457,10.1588137178,10.2079225499,0,0,22.5,22.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-22.5,4,19,W+22.5
4,standard_black,4,20261418,white,black,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,31,two_passes,328.1587685998529,15,16,168.488547183,159.669018731,11.2325698122,9.97931367066,20.5747947944,20.6144977538,1,1,-2.5,2.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,2.5,16,6,B+2.5
5,standard_white,0,20261419,black,white,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",1,0,30,two_passes,308.2433765651658,15,15,141.505276208,166.736727482,9.43368508052,11.1157818321,19.5288950177,19.34488001,0,0,0.5,0.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,0.5,16,8,B+0.5
6,standard_white,1,20261420,black,white,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",1,0,29,two_passes,351.64869752526283,15,14,168.734970432,182.912419916,11.2489980288,13.0651728512,20.5698927287,20.5632548174,1,1,1.5,1.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,1.5,17,8,B+1.5
7,standard_white,2,20261421,black,white,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",1,0,27,two_passes,340.46773588564247,14,13,166.172586721,174.293977626,11.8694704801,13.4072290481,20.5670541227,20.4549831133,1,1,1.5,1.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,1.5,17,8,B+1.5
8,standard_white,3,20261422,black,white,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",1,0,45,two_passes,402.6155700981617,23,22,195.605757246,207.007985695,8.50459814112,9.40945389524,19.3151814993,19.8767406903,0,0,3.5,3.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,3.5,17,6,B+3.5
9,standard_white,4,20261423,black,white,Low-c MCTS,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,33,two_passes,321.4458808833733,17,16,153.7246511,167.719910957,9.0426265353,10.4824944348,21.1079521179,21.0924022207,1,1,-2.5,2.5,5,50,7.5,"MCTS(rounds=1000, c=0.6, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-2.5,15,10,W+2.5
