game_index,subrun,subrun_game_index,seed,variant_color,standard_color,variant_name,variant_label,standard_name,standard_label,winner_color,winner_label,variant_won,standard_won,move_count,termination_reason,total_duration_s,variant_turns,standard_turns,variant_think_time_s,standard_think_time_s,variant_avg_move_time_s,standard_avg_move_time_s,variant_max_move_time_s,standard_max_move_time_s,variant_exceeded_move_time_limit,standard_exceeded_move_time_limit,variant_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,standard_black,0,20265414,white,black,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",1,0,50,two_passes,449.45831794384867,25,25,243.94791886,205.508140966,9.75791675441,8.22032563865,20.9106216067,20.870357166,1,1,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
1,standard_black,1,20265415,white,black,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",1,0,50,two_passes,375.30085413716733,25,25,199.274787058,176.024066297,7.97099148232,7.04096265189,19.0751636187,19.0106016789,0,0,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
2,standard_black,2,20265416,white,black,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,39,two_passes,447.4166690958664,19,20,231.363634054,216.051182533,12.1770333712,10.8025591266,20.799426253,20.7284341725,1,1,-5.5,5.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",MCTS,MCTS,1,0,5.5,18,5,B+5.5
3,standard_black,3,20265417,white,black,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",1,0,48,two_passes,422.3045277763158,24,24,230.377297058,191.925120098,9.59905404407,7.99688000407,20.9701617165,20.6533264751,1,1,32.5,32.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",MCTS,MCTS,0,1,-32.5,0,25,W+32.5
4,standard_black,4,20265418,white,black,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,43,two_passes,382.58090520929545,21,22,197.372566856,185.206573386,9.39869365979,8.41848060844,17.0277533969,10.2488836898,0,0,-5.5,5.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",MCTS,MCTS,1,0,5.5,19,6,B+5.5
5,standard_white,0,20265419,black,white,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",1,0,49,two_passes,498.4301368650049,25,24,258.959410916,239.468581998,10.3583764366,9.97785758324,20.9930936843,20.8222661782,1,1,17.5,17.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,17.5,25,0,B+17.5
6,standard_white,1,20265420,black,white,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",1,0,45,two_passes,396.0273682381958,23,22,201.543134267,194.482294299,8.76274496811,8.8401042863,19.1863117367,19.000985451,0,0,17.5,17.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,17.5,25,0,B+17.5
7,standard_white,2,20265421,black,white,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,29,two_passes,279.2962928637862,15,14,134.974105916,144.321066421,8.99827372773,10.3086476015,20.8609033749,20.7846005615,1,1,-4.5,4.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-4.5,14,11,W+4.5
8,standard_white,3,20265422,black,white,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",1,0,45,two_passes,461.4199100509286,23,22,237.710968495,223.706859455,10.3352594998,10.1684936116,20.6338859601,20.5179759078,1,1,17.5,17.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,17.5,25,0,B+17.5
9,standard_white,4,20265423,black,white,Prior-bonus MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)",1,0,45,two_passes,452.2203189302236,23,22,236.290233132,215.927902365,10.2734883971,9.81490465296,20.9869411467,20.9475555858,1,1,17.5,17.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=true)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,17.5,25,0,B+17.5
