game_index,subrun,subrun_game_index,seed,variant_color,standard_color,variant_name,variant_label,standard_name,standard_label,winner_color,winner_label,variant_won,standard_won,move_count,termination_reason,total_duration_s,variant_turns,standard_turns,variant_think_time_s,standard_think_time_s,variant_avg_move_time_s,standard_avg_move_time_s,variant_max_move_time_s,standard_max_move_time_s,variant_exceeded_move_time_limit,standard_exceeded_move_time_limit,variant_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,standard_black,0,20260414,white,black,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,33,two_passes,380.96178298909217,16,17,194.252273747,186.707962345,12.1407671092,10.9828213144,20.6167040179,20.8355777301,1,1,-2.5,2.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,2.5,16,6,B+2.5
1,standard_black,1,20260415,white,black,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,27,two_passes,243.39687980525196,13,14,123.494979232,119.901021382,9.49961378705,8.56435867013,10.3692517215,10.3878838513,0,0,-3.5,3.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,3.5,16,5,B+3.5
2,standard_black,2,20260416,white,black,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",1,0,28,two_passes,238.3930770745501,14,14,122.790449798,115.601639042,8.77074641415,8.25725993155,10.4533481477,10.4817519328,0,0,6.5,6.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-6.5,12,11,W+6.5
3,standard_black,3,20260417,white,black,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,29,two_passes,359.3274765210226,14,15,181.716200061,177.609936127,12.9797285758,11.8406624085,20.6918051112,20.6788984472,1,1,-3.5,3.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,3.5,17,6,B+3.5
4,standard_black,4,20260418,white,black,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,29,two_passes,292.5848965542391,14,15,154.46914131,138.114565751,11.0335100936,9.20763771671,19.7330687605,19.2769145938,0,0,-6.5,6.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,6.5,18,4,B+6.5
5,standard_white,0,20260419,black,white,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",1,0,37,two_passes,412.5286424309015,19,18,207.24555411,205.281198957,10.9076607426,11.4045110532,20.957506719,21.1645894945,1,1,10.5,10.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,10.5,21,3,B+10.5
6,standard_white,1,20260420,black,white,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",1,0,29,two_passes,240.70430728048086,15,14,121.759382826,118.943858352,8.11729218842,8.49598988232,13.4416952245,10.4040967878,0,0,3.5,3.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,3.5,18,7,B+3.5
7,standard_white,2,20260421,black,white,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",white,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",0,1,40,two_passes,350.2754546897486,20,20,168.183309849,182.090396768,8.40916549247,9.10451983842,13.2179317921,17.671123514,0,0,-7.5,7.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,0,1,-7.5,12,12,W+7.5
8,standard_white,3,20260422,black,white,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",1,0,33,two_passes,376.25842528417706,17,16,184.258053631,191.998843173,10.8387090371,11.9999276983,20.9210941559,20.8852105746,1,1,8.5,8.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,8.5,20,4,B+8.5
9,standard_white,4,20260423,black,white,Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",Standard MCTS,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",black,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",1,0,29,two_passes,350.6591841513291,15,14,176.143732841,174.514251175,11.7429155227,12.4653036554,20.6453696257,20.6475923723,1,1,2.5,2.5,5,50,7.5,"MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)","MCTS(rounds=1000, c=1.414, depth=50, rollout=random, expand=uniform, prior=false)",MCTS,MCTS,1,0,2.5,17,7,B+2.5
